Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
Danza Kuduro - Cover,MUSIC LAB JPN,GEKIATU BEST AGE SONG - CLUB SONG,5/2/2024,TCJPA2415647,1655575417.0,,9,48,204.4,
If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,2/10/2023,GBUM72300969,304929492.0,69.0,"43,923",49,203.6,
Despacito,Luis Fonsi,Despacito (Featuring Daddy Yankee),1/13/2017,USUM71607007,1747093405.0,74.0,"178,114",50,203.5,
euphoria,Kendrick Lamar,euphoria,4/30/2024,USUG12402839,168434320.0,86.0,"17,168",51,202.1,
Panda Basi,Mvua,Panda Basi - EP,2/10/2023,GX3Q92333626,104271.0,25.0,249,52,200.3,
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),8/25/2022,NGA3B2214021,1391688322.0,77.0,"163,876",53,198.0,
Shape of You,Ed Sheeran,Shape of You,1/6/2017,GBAHS1600463,3909458734.0,80.0,"316,378",54,195.1,
Mitu,Maian,Mitu - Single,1/19/2023,EEUM72300001,55346.0,13.0,42,55,194.3,
Blinding Lights,The Weeknd,Blinding Lights,11/29/2019,USUG11904206,4281468720.0,83.0,"590,392",56,194.0,
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,12/2/2022,USUG12208791,1337619917.0,80.0,"228,295",57,192.3,
Danza Kuduro - Cover,MUSIC LAB JPN,YOUGAKU MORIMORI CLUB MEDLEY,4/29/2024,TCJPA2420090,1655575417.0,,1,59,190.0,
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),9/22/2022,GBUM72205415,1556275789.0,74.0,"210,583",60,189.1,
Very Cute Melody by Marimba Tone (39813),mitsu sound,Very Cute Melody by Marimba Tone (39813),12/31/2023,RUA1H2406425,1384.0,,2,62,186.5,
Supernova,aespa,Supernova,5/13/2024,KRA302400090,69729033.0,81.0,"2,483",63,186.1,
Me Porto Bonito,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214877,1811990630.0,79.0,"173,358",64,184.8,
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,400 Degreez (Deluxe Edition),3/29/2024,USCM52400059,199929812.0,,4,65,181.4,
Calm Down,Rema,Calm Down,2/10/2022,NGA3B2214004,584427088.0,68.0,"182,994",66,180.1,
CARNIVAL,ýý$,CARNIVAL,2/8/2024,QZ7XS2400012,466887055.0,84.0,"53,842",67,179.6,
Kill Bill,SZA,SOS,12/8/2022,USRC12204584,1873746537.0,82.0,"190,202",68,177.7,
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? (From The Motion Picture ""Barbie"")",7/13/2023,USUM72307484,891720245.0,82.0,"114,56",69,177.6,
Babba,Guy Mac,Black Book ID's: Chapter 5 - EP,3/3/2023,QZA742305720,46567.0,6.0,252,70,176.2,
Heat Waves,Glass Animals,Heat Waves,6/29/2020,GBUM72000433,2996181078.0,82.0,"486,278",71,175.0,
In the End,Linkin Park,Papercuts,4/12/2024,USWB11201322,2045512421.0,,97,72,174.8,
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",1/11/2023,UYB282301031,946941510.0,74.0,"100,13",73,174.3,
The Way We Move - Extended Mix,PowerDress,The Way We Move,3/10/2023,UKACT2330463,7909.0,4.0,38,74,173.6,
Old Town Road,Lil Nas X,Old Town Road,3/14/2019,USSM11901941,1010494713.0,67.0,"127,393",75,170.3,
un x100to,Grupo Frontera,un x100to,4/17/2023,QM6N22311285,1008495696.0,75.0,"99,381",76,170.2,
Sprinter,Dave,Sprinter - Single,6/1/2023,GBUM72305159,692512930.0,78.0,"199,828",78,168.1,
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401988,169410711.0,90.0,"11,028",79,167.8,
TQG,KAROL G,TQG,2/23/2023,USUM72222541,1024381758.0,78.0,"78,554",80,167.8,
Perfect,Ed Sheeran,ýý (Deluxe),3/3/2017,GBAHS1700024,2969999682.0,81.0,"280,165",81,167.5,
Pepas,Farruko,Pepas,6/24/2021,USSD12100307,1500499584.0,74.0,"359,502",82,167.3,
Peekaboo,Dave Angel,Glide - Single,1/27/2023,GBLTF2300027,8082.0,,63,83,167.2,
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,3/16/2023,USE7D2300007,1215336974.0,74.0,"129,463",84,166.5,
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),5/25/2023,USAT22305457,860026452.0,80.0,"74,769",85,166.2,
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),3/17/2023,MXF152300159,1032225805.0,79.0,"94,887",86,164.9,
redrum,21 Savage,american dream,1/12/2024,USSM12309164,428233003.0,,"57,311",87,164.8,
Easy On Me,Adele,Easy On Me,10/14/2021,USSM12105970,1720918065.0,73.0,"209,635",88,163.2,
Titï¿½ï¿½ Me Pregu,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214878,1514239759.0,77.0,"190,692",89,163.1,
All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),5/12/2023,USQX92302957,333202114.0,68.0,"108,322",90,162.0,
Anti-Hero,Taylor Swift,Midnights,10/21/2022,USUG12205736,1563224246.0,80.0,"117,005",91,161.8,
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",7/6/2022,UYB282201028,1692951462.0,78.0,"209,49",92,161.7,
Magnetic,ILLIT,SUPER REAL ME,3/25/2024,USA2P2413259,255076355.0,86.0,"11,5",93,161.0,
Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,7/28/2023,USSD12300307,275349653.0,70.0,"37,806",94,158.2,
La Diabla,Xavi,La Diabla - Single,12/2/2023,USA2P2357356,649404552.0,83.0,"27,544",95,155.9,
Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2/3/2023,GBAYE2300015,851085705.0,70.0,"129,047",96,153.6,
Snooze,SZA,SOS,12/9/2022,USRC12204591,1013350808.0,84.0,"108,036",97,153.3,
BELLAKEO,Peso Pluma,BELLAKEO,12/7/2023,QMFMF2388143,359803580.0,86.0,"26,065",98,153.1,
Agora Hills,Doja Cat,Scarlet,9/22/2023,USRC12301954,509653100.0,,"66,219",99,152.8,
Prada,cassï¿,Prada,8/11/2023,GBCEN2300147,609699748.0,83.0,"128,498",100,152.5,
Montagem Rave Eterno,Dj Samir,Montagem Rave Eterno,5/2/2024,GXD7G2413058,5157486.0,,470,101,152.3,
Lil Boo Thang,Paul Russell,Lil Boo Thang,8/18/2023,USAR12300323,242070373.0,76.0,"37,17",102,152.1,
MONACO,Bad Bunny,nadie sabe lo que va a pasar maï¿½ï¿,10/13/2023,QMFME2364182,478150858.0,78.0,"73,306",103,150.7,
Laxed (Siren Beat),Jawsh 685,Laxed (Siren Beat),4/24/2020,USSM12002399,61382407.0,43.0,"7,24",104,150.5,
(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],6/15/2023,GBBKS2300080,460156070.0,77.0,"163,449",105,150.4,
Training Season,Dua Lipa,Training Season,2/15/2024,GBAHT2301078,251153869.0,76.0,"16,811",106,148.9,
Type Shit,Future,WE DON'T TRUST YOU,3/22/2024,USSM12402033,205206688.0,84.0,"28,064",107,148.1,
Armageddon,aespa,Armageddon - The 1st Album,5/27/2024,KRA302400093,32942304.0,74.0,"1,262",108,147.4,
The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,12/6/2019,USAT21906978,1911559785.0,78.0,"317,345",109,146.6,
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),7/23/2021,USSM12104539,2014959725.0,70.0,"354,831",110,145.3,
Pedro,Jaxomy,Pedro - Single,3/29/2024,DEE862400427,168145583.0,85.0,"27,654",111,144.6,
Fast Car,Luke Combs,Gettin' Old,3/24/2023,US6XF2200436,518988585.0,80.0,"73,116",112,144.5,
Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,1/7/2024,JPU902305042,247399972.0,80.0,"22,222",113,144.0,
Aesthetic,Tollan Kim,Aesthetic,3/4/2022,SGB502208576,5712985.0,44.0,"2,311",114,144.0,
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),10/18/2018,USUM71814888,3358704125.0,79.0,"392,082",116,143.9,
Hands,Dianï¿½,Hands,8/1/2022,GBKPL2205333,126914.0,1.0,8,115,143.9,
Saturn,SZA,Saturn - Single,2/24/2024,USRC12400216,343090427.0,87.0,"21,104",117,142.8,
Believer,Imagine Dragons,Believer,1/31/2017,USUM71700626,3006226762.0,81.0,"335,88",119,142.2,
WAIT FOR U (feat. Drake & Tems),Future,WAIT FOR U (feat. Drake & Tems),4/27/2022,USSM12203789,787155930.0,77.0,"183,85",120,141.0,
I KNOW ?,Travis Scott,UTOPIA,7/28/2023,USSM12305012,532605345.0,81.0,"128,534",121,139.5,
ANDO,Jere Klein,ANDO,9/27/2023,QMDA72363047,292789738.0,72.0,"28,591",122,139.0,
First Class,Jack Harlow,First Class,4/8/2022,USAT22203024,818858244.0,71.0,"223,609",123,138.6,
FE!N,Travis Scott,UTOPIA,7/28/2023,USSM12305010,659010786.0,86.0,"129,923",124,137.8,
Save Your Tears - Live,The Weeknd,After Hours (Live At SoFi Stadium),3/3/2023,USUG12301493,3913988.0,40.0,545,125,137.7,
Losing Interest - Original Mix,Goovex,Losing Interest (Original),6/10/2024,CA5KR2465999,126247886.0,1.0,5,126,136.4,
I Ain't Worried,OneRepublic,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",5/13/2022,USUM72206227,1607421145.0,83.0,"212,406",127,136.2,
MI EX TENï¿½ï¿½A RA,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,8/10/2023,USUG12305253,438796949.0,78.0,"23,959",128,136.2,
Drained of Color,Exhumed,Drained of Color,8/30/2022,US2642250302,158627.0,16.0,635,129,134.0,
Mood (feat. iann dior),24kGoldn,Mood (feat. Iann Dior),7/24/2020,USQX92003025,1867736006.0,76.0,"302,486",130,133.0,
Dynamite,BTS,Dynamite,8/21/2020,QM7282022872,1872577908.0,74.0,"144,619",131,132.3,
Looking Like a Wow End of Year 2023,WasteLand,Looking Like a Wow,12/10/2023,GXBAV2381801,8327.0,,3,132,130.7,
Someone You Loved,Lewis Capaldi,Breach,11/8/2018,DEUM71807062,3427498835.0,82.0,"338,763",133,129.7,
Acrï¿½ï¿½s,Shakira,Acrï¿½ï¿½stico - Si,5/11/2023,USQX92302824,230849195.0,64.0,"23,091",134,129.6,
Made You Look,Meghan Trainor,Takin' It Back,10/21/2022,USSM12204574,720720922.0,77.0,"74,295",135,129.5,
PHONK BRASILEIRO FRESCO (Slowed + Reverb),DJ MOIGUS,PHONK BRASILEIRO FRESCO,6/22/2023,QZMEQ2306756,1378494.0,34.0,351,136,129.4,
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",5/29/2024,INS182401602,2827545.0,,62,137,129.1,
vampire,Olivia Rodrigo,vampire,6/30/2023,USUG12304091,998964097.0,18.0,"90,793",138,128.9,
Casca de Bala,Thullio Milionï¿½ï¿,A Cara das Vaquejadas 3.0,3/1/2024,BCAEW2400001,37157630.0,74.0,"2,052",139,128.5,
Back,LOLA,Back,8/3/2022,UKQNV2100272,48428.0,3.0,92,140,128.0,
People,Libianca,People - Single,12/5/2022,QZTB52268087,631955547.0,74.0,"121,823",141,127.8,
Lady Killers II (Christoph Andersson Remix),G-Eazy,Lady Killers II (Christoph Andersson Remix),3/17/2024,TCAIA2495220,94635338.0,,"10,537",143,127.3,
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,4/5/2024,UKWLG2400013,114574238.0,84.0,"10,564",144,126.9,
Abc,J Ross,Abc,2/14/2023,CLLU22300585,31867.0,1.0,5,145,126.6,
La Bachata,Manuel Turizo,La Bachata,5/26/2022,QZDYA1800087,1721045197.0,81.0,"156,941",146,126.2,
ýýýýýýýýýýýýýýýýýýýýý,FLI:P,ýýýýýýýýýýýýýýýýýýýýý,4/7/2023,FRX282306294,8028757.0,44.0,"1,972",147,125.4,
